station,Latitude,Longitude,name
82,16.465868700000,102.828518900000,จุดจอดแฟลตศูนย์แพทย์ 14
83,16.465918400000,102.830176900000,จุดจอดเรือนพักญาติ ใกล้โรงพยาบาลศรีนครินทร์
84,16.466228700000,102.825859300000,จุดจอดลานจอดรถยนต์ศูนย์อาหารหนองแวง
85,16.465536200000,102.827888100000,จุดจอดประตูฝั่งกังสดาล
86,16.469709600000,102.815350600000,จุดจอดสถานีชาร์จไฟฟ้า (ขาออก)
87,16.469709600000,102.815350600000,จุดจอดสถานีชาร์จไฟฟ้า (ขาเข้า)
88,16.465754800000,102.815298200000,จุดจอดอุทยานเกษตร
89,16.453358000000,102.815389700000,จุดจอดแฟลตปาดู่
90,16.449876800000,102.815568700000,จุดจอดคณะนิติศาสตร์
91,16.446595700000,102.815162700000,จุดจอดศูนย์ประชุมกาญจนาภิเษก
92,16.445858400000,102.811425800000,จุดจอดพิพิธภัณฑ์ธรรมชาติวิทยา
93,16.442887300000,102.814652500000,จุดจอดประตูศรีฐาน
94,16.446595700000,102.815162700000,จุดจอดศูนย์ประชุมกาญจนาภิเษก
95,16.449876800000,102.815568700000,จุดจอดโรงเรียนสาธิตศึกษาศาสตร์ 
96,16.453358000000,102.815389700000,จุดจอดแฟลตปาดู่
97,16.465754800000,102.815298200000,จุดจอดอุทยานเกษตร
98,16.463325100000,102.827574100000,จุดจอดJK เครื่องเขียน
99,16.457729700000,102.828148500000,จุดจอดหอพักจันทร์สมร
100,16.458455800000,102.828041300000,จุดจอดทำฟัน Your Smile
101,16.457456900000,102.828184300000,จุดจอดเฟรชชี่สไมล์
102,16.463325100000,102.827574100000,จุดจอดฝั่งตรงข้ามJK เครื่องเขียน
103,16.462100700000,102.827766400000,จุดจอดหอพักจิว-จิว
104,16.460873500000,102.827955400000,จุดจอดDewa cafe
105,16.459402800000,102.828142100000,จุดจอดบึงหนองแวง
